id;name;measure;threshold
Q160612-06;Air conditioner accessories metal parts;pc;50
406830;Air conditioner parts bearings 406830, sample available, small orders are accepted;pc;50
TU-000;Air conditioning compressor screw spare parts screw wax motor;pc;50
Q141105-03;Printer support or bracket for OA industry and air conditioners parts;pc;50
HQ13120701;Automotive Air Conditioning Parts for Motor Shim;pc;50
QIANGFA-6;Automotive Air Conditioning Parts for Motor Shim;pc;50
HQ091403;Automotive Air Conditioning Parts for Motor Shim;pc;50
HQ09023;Automotive Air Conditioning Parts for Motor Shim;pc;50
METALIC 2013-004;Air condition parts;pc;50
YCX-201-8;Automotive air conditioning parts suppliers;pc;50
METALIC 2013-003;Air condition parts, made of forge brass;pc;20
METALIC 2013-008-1-1-1-1-1;Air conditioner parts, made of brass;pc;20
METALIC 2013-008-1-1-1-1;Air conditioner parts, made of brass;pc;20
LS14012403;Automotive Air Conditioning Parts for Motor;pc;50
HQ14022602;Automotive Air Conditioning Parts for Motor Shim;pc;50
EC-0050-09;Customized Electrical/Auto Sheet Metal Stamping Parts;pc;50
MZFR-F-48V;Ceramic PTC heater for car;pc;50
MZFR-EV-LN03;Electronic heating device (PTC heater basis) for electric technical car;pc;50
YCX74006;Plastic injection for car door handle;pc;50
ANNA-010-1;Air-conditioner Part for Cars, Made of Aluminium;pc;50
QF- 15892-1;Air-conditioner Part for Cars, Made of Aluminium;pc;50
Q160403-02;Air conditioning parts for automotive and car seat;pc;50
METALIC 2013-002;Air condition parts for car;pc;50
MZFR-R-01;PTC Car Fan Heater 800W;pc;10
GC-2442C-G231;Car Cabin Air Filter for Saab, Citroen cruze, VAUXHALL, Opel astra;pc;10
GC-3858;Car Cabin Air Filter Suit for Mercedes Benz Sprinter;pc;50
GC-28001C;Car Cabin Air Filter, Suit for FORD MONDEO EDGE LINCOLN MKZ;pc;50
GC-2641;Car Cabin Air Filter, Suit for Audi A6,A6 Avant, A6 Allroad, A7,A8,Mulsanne;pc;50
GC-34303C;Car Cabin Air Filter Suit for MERCEDES-BENZ C-CLASS GLC;pc;50
GC-6724PPC;Car Cabin Air Filter, Suit for BMW;pc;50
AC-1277; Car Air Purifier;pc;50
KT-816701;Car Air Conditioning Condenser for Toyota Highlander, High-efficiency, Heat-exchange;pc;50
KT816701;Car Air Conditioner Condenser for Toyota Highlander, High Efficiency Heat Exchange;pc;50
YCX-201-105;Plastic automotive parts for car air-conditioning parts, adjustable and easy to install;pc;50
AC2355;Machining and casting performance parts car cooling system, OEM factory with custom lasered logo;pc;50
